parameter,description
ARM_DISARM_REASON_TRANSITION_TO_STANDBY,uint8 = 0
ARM_DISARM_REASON_RC_SWITCH,uint8 = 2
NAVIGATION_STATE_AUTO_MISSION,uint8 = 3 # Auto mission mode
NAVIGATION_STATE_AUTO_VTOL_TAKEOFF,uint8 = 22 # Takeoff; transition; establish loiter
VEHICLE_TYPE_AIRSHIP,uint8 = 4
FAILURE_NONE,uint16 = 0
FAILURE_MOTOR,uint16 = 128 # (1 << 7)
safety_off,bool # Set to true if safety is off
VEHICLE_TYPE_ROTARY_WING,uint8 = 1
nav_state_timestamp,uint64 # time when current nav_state activated
VEHICLE_TYPE_FIXED_WING,uint8 = 2
FAILURE_ROLL,uint16 = 1 # (1 << 0)
nav_state_user_intention,uint8 # Mode that the user selected (might be different from nav_state in a failsafe situation)
NAVIGATION_STATE_ORBIT,uint8 = 21 # Orbit in a circle
failsafe_and_user_took_over,bool # true if system is in failsafe state but the user took over control
is_vtol_tailsitter,bool # True if the system performs a 90° pitch down rotation during transition from MC to FW
NAVIGATION_STATE_AUTO_LAND,uint8 = 18 # Land
latest_disarming_reason,uint8 
NAVIGATION_STATE_ALTCTL,uint8 = 1 # Altitude control mode
avoidance_system_valid,bool # Status of the obstacle avoidance system
NAVIGATION_STATE_AUTO_LOITER,uint8 = 4 # Auto loiter mode
ARM_DISARM_REASON_RC_STICK,uint8 = 1
ARM_DISARM_REASON_AUTO_DISARM_PREFLIGHT,uint8 = 8
in_transition_to_fw,bool # True if VTOL is doing a transition from MC to FW
open_drone_id_system_healthy,bool 
avoidance_system_required,bool # Set to true if avoidance system is enabled via COM_OBS_AVOID parameter
ARM_DISARM_REASON_COMMAND_INTERNAL,uint8 = 3
ARM_DISARM_REASON_MISSION_START,uint8 = 5
ARM_DISARM_REASON_SAFETY_BUTTON,uint8 = 6
failsafe,bool # true if system is in failsafe state (e.g.:RTL; Hover; Terminate; ...)
is_vtol,bool # True if the system is VTOL capable
NAVIGATION_STATE_UNUSED3,uint8 = 8 # Free slot
ARM_DISARM_REASON_SHUTDOWN,uint8 = 12
ARMING_STATE_ARMED,uint8 = 2
rc_calibration_in_progress,bool 
vehicle_type,uint8 
NAVIGATION_STATE_MAX,uint8 = 23
ARM_DISARM_REASON_FAILURE_DETECTOR,uint8 = 11
HIL_STATE_ON,uint8 = 1
NAVIGATION_STATE_AUTO_RTL,uint8 = 5 # Auto return to launch mode
FAILURE_EXT,uint16 = 8 # (1 << 3)
FAILURE_ALT,uint16 = 4 # (1 << 2)
pre_flight_checks_pass,bool # true if all checks necessary to arm pass
NAVIGATION_STATE_AUTO_PRECLAND,uint8 = 20 # Precision land with landing target
HIL_STATE_OFF,uint8 = 0
VEHICLE_TYPE_UNKNOWN,uint8 = 0
high_latency_data_link_lost,bool # Set to true if the high latency data link (eg. RockBlock Iridium 9603 telemetry module) is lost
FAILURE_IMBALANCED_PROP,uint16 = 64 # (1 << 6)
ARM_DISARM_REASON_COMMAND_EXTERNAL,uint8 = 4
NAVIGATION_STATE_DESCEND,uint8 = 12 # Descend mode (no position control)
VEHICLE_TYPE_ROVER,uint8 = 3
takeoff_time,uint64 # Takeoff timestamp (microseconds)
ARMING_STATE_DISARMED,uint8 = 1
ARM_DISARM_REASON_AUTO_DISARM_LAND,uint8 = 7
NAVIGATION_STATE_AUTO_FOLLOW_TARGET,uint8 = 19 # Auto Follow
NAVIGATION_STATE_UNUSED2,uint8 = 16 # Free slot
FAILURE_PITCH,uint16 = 2 # (1 << 1)
parachute_system_present,bool 
ARM_DISARM_REASON_KILL_SWITCH,uint8 = 9
gcs_connection_lost,bool # datalink to GCS lost
NAVIGATION_STATE_POSCTL,uint8 = 2 # Position control mode
open_drone_id_system_present,bool 
indicated_frequency_rpm,float32 # indicated rotor Frequency in Revolution per minute
estimated_accurancy_rpm,float32 # estimated accuracy in Revolution per minute
accel_temperature,float32[4] 
accel_offset_2,float32[3] # accelerometer 2 offsets in the FRD board frame XYZ-axis in m/s^s
gyro_temperature,float32[4] 
mag_offset_1,float32[3] # magnetometer 1 offsets in the FRD board frame XYZ-axis in m/s^s
accel_offset_0,float32[3] # accelerometer 0 offsets in the FRD board frame XYZ-axis in m/s^s
mag_device_ids,uint32[4] 
mag_offset_2,float32[3] # magnetometer 2 offsets in the FRD board frame XYZ-axis in m/s^s
accel_device_ids,uint32[4] 
mag_offset_3,float32[3] # magnetometer 3 offsets in the FRD board frame XYZ-axis in m/s^s
gyro_offset_0,float32[3] # gyro 0 XYZ offsets in the sensor frame in rad/s
baro_offset_3,float32 # barometric pressure 3 offsets in the sensor frame in Pascals
baro_device_ids,uint32[4] 
gyro_device_ids,uint32[4] 
gyro_offset_2,float32[3] # gyro 2 XYZ offsets in the sensor frame in rad/s
mag_temperature,float32[4] 
baro_offset_2,float32 # barometric pressure 2 offsets in the sensor frame in Pascals
baro_offset_0,float32 # barometric pressure 0 offsets in the sensor frame in Pascals
accel_offset_1,float32[3] # accelerometer 1 offsets in the FRD board frame XYZ-axis in m/s^s
baro_offset_1,float32 # barometric pressure 1 offsets in the sensor frame in Pascals
baro_temperature,float32[4] 
mag_offset_0,float32[3] # magnetometer 0 offsets in the FRD board frame XYZ-axis in m/s^s
gyro_offset_1,float32[3] # gyro 1 XYZ offsets in the sensor frame in rad/s
gyro_offset_3,float32[3] # gyro 3 XYZ offsets in the sensor frame in rad/s
accel_offset_3,float32[3] # accelerometer 3 offsets in the FRD board frame XYZ-axis in m/s^s
healthy,bool[4] # sensor healthy
device_ids,uint32[4] 
external,bool[4] 
inconsistency,float32[4] # magnitude of difference between sensor instance and mean
device_id_primary,uint32 # current primary device id for reference
enabled,bool[4] 
priority,uint8[4] 
fd_motor,bool 
fd_battery,bool 
fd_ext,bool 
imbalanced_prop_metric,float32 # Metric of the imbalanced propeller check (low-passed)
motor_failure_mask,uint16 # Bit-mask with motor indices; indicating critical motor failures
fd_pitch,bool 
fd_arm_escs,bool 
fd_roll,bool 
fd_imbalanced_prop,bool 
fd_alt,bool 
val,int32 
bias_x,float32[4] # estimated X-bias of all the sensors
stable,bool[4] 
bias_y,float32[4] # estimated Y-bias of all the sensors
bias_z,float32[4] # estimated Z-bias of all the sensors
valid,bool[4] # true if the estimator has converged
heartbeat_type_open_drone_id,bool # MAV_TYPE_ODID
heartbeat_type_adsb,bool # MAV_TYPE_ADSB
heartbeat_type_gcs,bool # MAV_TYPE_GCS
LINK_TYPE_USB,uint8 = 3
heartbeat_component_osd,bool # MAV_COMP_ID_OSD
LINK_TYPE_IRIDIUM,uint8 = 4
HEARTBEAT_TIMEOUT_US,uint64 = 2500000 # Heartbeat timeout (tolerate missing 1 + jitter)
heartbeat_component_obstacle_avoidance,bool # MAV_COMP_ID_OBSTACLE_AVOIDANCE
avoidance_system_healthy,bool 
heartbeat_component_pairing_manager,bool # MAV_COMP_ID_PAIRING_MANAGER
heartbeat_type_onboard_controller,bool # MAV_TYPE_ONBOARD_CONTROLLER
rx_buffer_overruns,uint32 # number of RX buffer overruns
heartbeat_component_log,bool # MAV_COMP_ID_LOG
heartbeat_type_camera,bool # MAV_TYPE_CAMERA
rate_multiplier,float32 
rx_message_count,uint32 # count of total messages received
rx_rate_avg,float32 # transmit rate average (Bytes/s)
heartbeat_component_udp_bridge,bool # MAV_COMP_ID_UDP_BRIDGE
data_rate,float32 # configured maximum data rate (Bytes/s)
rx_packet_drop_count,uint32 # number of packet drops
mode,uint8 
ftp,bool 
forwarding,bool 
LINK_TYPE_UBIQUITY_BULLET,uint8 = 1
streams,uint8 
heartbeat_component_telemetry_radio,bool # MAV_COMP_ID_TELEMETRY_RADIO
heartbeat_type_antenna_tracker,bool # MAV_TYPE_ANTENNA_TRACKER
heartbeat_component_uart_bridge,bool # MAV_COMP_ID_UART_BRIDGE
type,uint8 # type of the radio hardware (LINK_TYPE_*)
mavlink_v2,bool 
LINK_TYPE_WIRE,uint8 = 2
heartbeat_component_vio,bool # MAV_COMP_ID_VISUAL_INERTIAL_ODOMETRY
tx_rate_avg,float32 # transmit rate average (Bytes/s)
LINK_TYPE_GENERIC,uint8 = 0
flow_control,bool 
tx_buffer_overruns,uint32 # number of TX buffer overruns
heartbeat_type_gimbal,bool # MAV_TYPE_GIMBAL
tx_error_rate_avg,float32 # transmit error rate average (Bytes/s)
heartbeat_type_parachute,bool # MAV_TYPE_PARACHUTE
tx_message_count,uint32 # total message sent count
rx_parse_errors,uint32 # number of parse errors
rx_message_lost_count,uint32 
rx_message_lost_rate,float32 
trim,float32[8] # range: [-1; 1]
NUM_CONTROLS,uint8 = 8
ESC_CONNECTION_TYPE_CAN,uint8 = 4 # CAN-Bus
ESC_CONNECTION_TYPE_ONESHOT,uint8 = 2 # One Shot PPM
counter,uint16 # incremented by the writing thread everytime new data is stored
esc_count,uint8 # number of connected ESCs
esc_connectiontype,uint8 # how ESCs connected to the system
ESC_CONNECTION_TYPE_DSHOT,uint8 = 5 # DShot
ESC_CONNECTION_TYPE_SERIAL,uint8 = 1 # Serial Bus connected ESC
ESC_CONNECTION_TYPE_I2C,uint8 = 3 # I2C
ESC_CONNECTION_TYPE_PPM,uint8 = 0 # Traditional PPM ESC
esc_armed_flags,uint8 # Bitmask indicating which ESC is armed. For ESC's where the arming state is not known (returned by the ESC); the arming bits should always be set.
esc_online_flags,uint8 # Bitmask indicating which ESC is online/offline
CONNECTED_ESC_MAX,uint8 = 8 # The number of ESCs supported. Current (Q2/2013) we support 8 ESCs
esc,EscReport[8] 
air_temperature_celsius,float32 # air temperature in degrees Celsius; -1000 if unknown
confidence,float32 # confidence value from 0 to 1 for this sensor
timestamp_sample,uint64 
true_airspeed_m_s,float32 # true filtered airspeed in m/s
indicated_airspeed_m_s,float32 # indicated airspeed in m/s
vx,float32 # in meters/sec
z,float32 # in meters NED
thrust,float32[3] # normalized thrust vector in NED
acceleration,float32[3] # in meters/sec^2
yawspeed,float32 # in radians/sec
vz,float32 # in meters/sec
x,float32 # in meters NED
vy,float32 # in meters/sec
y,float32 # in meters NED
ORB_QUEUE_LENGTH,uint32 = 2
timestamp_utc,uint64 # UTC timestamp
feedback,bool # Trigger feedback from camera
seq,uint32 # Image sequence number
collective_thrust_normalized_setpoint,float32 # Collective thrust setpoint [0; 1]
collective_tilt_normalized_setpoint,float32 # Collective tilt angle of motors of tiltrotor; 0: vertical; 1: horizontal [0; 1]
device_id,uint32 # Device id
state,uint32 # pin state mask
xyz_derivative,float32[3] # angular acceleration about the FRD body frame XYZ-axis in rad/s^2
xyz,float32[3] # Bias corrected angular velocity about the FRD body frame XYZ-axis in rad/s
pre_flt_fail_innov_heading,bool 
gyro_device_id,uint32 
GPS_CHECK_FAIL_MAX_HORZ_DRIFT,uint8 = 6 # 6 : maximum allowed horizontal position drift fail - requires stationary vehicle
CS_SYNTHETIC_MAG_Z,uint8 = 25 # 25 - true when we are using a synthesized measurement for the magnetometer Z component
CS_EV_HGT,uint8 = 14 # 14 - true when height data from external vision measurements is being fused
hgt_test_ratio,float32 # ratio of the vertical position innovation to the innovation test limit
output_tracking_error,float32[3] # return a vector containing the output predictor angular; velocity and position tracking error magnitudes (rad); (m/s); (m)
CS_EV_POS,uint8 = 12 # 12 - true when local position data from external vision is being fused
CS_MAG_3D,uint8 = 5 # 5 - true if 3-axis magnetometer measurement are being fused
GPS_CHECK_FAIL_MAX_VERT_ERR,uint8 = 4 # 4 : maximum allowed vertical position error fail
CS_FIXED_WING,uint8 = 17 # 17 - true when thought to be operating as a fixed wing vehicle with constrained sideslip
GPS_CHECK_FAIL_MIN_SAT_COUNT,uint8 = 1 # 1 : minimum required sat count fail
reset_count_pos_ne,uint8 # number of horizontal position reset events (allow to wrap if count exceeds 255)
gps_check_fail_flags,uint16 # Bitmask to indicate status of GPS checks - see definition below
mag_strength_ref_gs,float32 
CS_TILT_ALIGN,uint8 = 0 # 0 - true if the filter tilt alignment is complete
GPS_CHECK_FAIL_MAX_HORZ_ERR,uint8 = 3 # 3 : maximum allowed horizontal position error fail
reset_count_vel_d,uint8 # number of vertical velocity reset events (allow to wrap if count exceeds 255)
timeout_flags,uint8 # Bitmask to indicate timeout flags (vel; pos; hgt)
pos_horiz_accuracy,float32 # 1-Sigma estimated horizontal position accuracy relative to the estimators origin (m)
CS_BARO_HGT,uint8 = 9 # 9 - true when baro height is being fused as a primary height reference
filter_fault_flags,uint32 # Bitmask to indicate EKF internal faults
accel_device_id,uint32 
mag_inclination_deg,float32 
pre_flt_fail_innov_height,bool 
CS_IN_AIR,uint8 = 7 # 7 - true when thought to be airborne
beta_test_ratio,float32 # ratio of the synthetic sideslip innovation to the innovation test limit
mag_strength_gs,float32 
mag_inclination_ref_deg,float32 
CS_MAG_DEC,uint8 = 6 # 6 - true if synthetic magnetic declination measurements are being fused
CS_GPS_HGT,uint8 = 11 # 11 - true when GPS height is being fused as a primary height reference
control_mode_flags,uint64 # Bitmask to indicate EKF logic state
CS_VEHICLE_AT_REST,uint8 = 26 # 26 - true when the vehicle is at rest
GPS_CHECK_FAIL_MAX_VERT_DRIFT,uint8 = 7 # 7 : maximum allowed vertical position drift fail - requires stationary vehicle
CS_MAG_FIELD,uint8 = 16 # 16 - true when only the magnetic field states are updated by the magnetometer
CS_GPS_YAW_FAULT,uint8 = 27 # 27 - true when the GNSS heading has been declared faulty and is no longer being used
CS_ASPD,uint8 = 19 # 19 - true when airspeed measurements are being fused
CS_RNG_FAULT,uint8 = 28 # 28 - true when the range finder has been declared faulty and is no longer being used
CS_RNG_STUCK,uint8 = 21 # 21 - true when a stuck range finder sensor has been detected
innovation_check_flags,uint16 # Bitmask to indicate pass/fail status of innovation consistency checks
health_flags,uint8 # Bitmask to indicate sensor health states (vel; pos; hgt)
CS_GND_EFFECT,uint8 = 20 # 20 - true when when protection from ground effect induced static pressure rise is active
tas_test_ratio,float32 # ratio of the true airspeed innovation to the innovation test limit
solution_status_flags,uint16 # Bitmask indicating which filter kinematic state outputs are valid for flight control use.
pos_test_ratio,float32 # ratio of the largest horizontal position innovation component to the innovation test limit
CS_OPT_FLOW,uint8 = 3 # 3 - true if optical flow measurements are being fused
GPS_CHECK_FAIL_GPS_FIX,uint8 = 0 # 0 : insufficient fix type (no 3D solution)
GPS_CHECK_FAIL_MAX_PDOP,uint8 = 2 # 2 : maximum allowed PDOP fail
CS_GPS,uint8 = 2 # 2 - true if GPS measurements are being fused
CS_MAG_ALIGNED,uint8 = 23 # 23 - true when the in-flight mag field alignment has been completed
reset_count_vel_ne,uint8 # number of horizontal position reset events (allow to wrap if count exceeds 255)
CS_YAW_ALIGN,uint8 = 1 # 1 - true if the filter yaw alignment is complete
vel_test_ratio,float32 # ratio of the largest velocity innovation component to the innovation test limit
reset_count_pod_d,uint8 # number of vertical position reset events (allow to wrap if count exceeds 255)
pre_flt_fail_mag_field_disturbed,bool 
GPS_CHECK_FAIL_MAX_SPD_ERR,uint8 = 5 # 5 : maximum allowed speed error fail
GPS_CHECK_FAIL_MAX_VERT_SPD_ERR,uint8 = 9 # 9 : maximum allowed vertical velocity discrepancy fail
CS_GPS_YAW,uint8 = 22 # 22 - true when yaw (not ground course) data from a GPS receiver is being fused
pos_vert_accuracy,float32 # 1-Sigma estimated vertical position accuracy relative to the estimators origin (m)
hagl_test_ratio,float32 # ratio of the height above ground innovation to the innovation test limit
time_slip,float32 # cumulative amount of time in seconds that the EKF inertial calculation has slipped relative to system time
reset_count_quat,uint8 # number of quaternion reset events (allow to wrap if count exceeds 255)
mag_device_id,uint32 
baro_device_id,uint32 
GPS_CHECK_FAIL_MAX_HORZ_SPD_ERR,uint8 = 8 # 8 : maximum allowed horizontal speed fail - requires stationary vehicle
pre_flt_fail_innov_vel_vert,bool 
CS_WIND,uint8 = 8 # 8 - true when wind velocity is being estimated
mag_test_ratio,float32 # ratio of the largest magnetometer innovation component to the innovation test limit
CS_MAG_FAULT,uint8 = 18 # 18 - true when the magnetometer has been declared faulty and is no longer being used
CS_BETA,uint8 = 15 # 15 - true when synthetic sideslip measurements are being fused
CS_EV_YAW,uint8 = 13 # 13 - true when yaw data from external vision measurements is being fused
CS_MAG_HDG,uint8 = 4 # 4 - true if a simple magnetic yaw heading is being fused
pre_flt_fail_innov_vel_horiz,bool 
CS_RNG_HGT,uint8 = 10 # 10 - true when range finder height is being fused as a primary height reference
CS_EV_VEL,uint8 = 24 # 24 - true when local frame velocity data fusion from external vision measurements is intended
SOURCE_PROTOCOL_UNKNOWN,uint8 = 0
SOURCE_PROTOCOL_MAVLINK,uint8 = 1
estimated_offset,int64 # smoothed time offset between companion system and PX4 (microseconds)
round_trip_time,uint32 # round trip time of this timesync packet (microseconds)
SOURCE_PROTOCOL_DDS,uint8 = 2
remote_timestamp,uint64 # remote system timestamp (microseconds)
source_protocol,uint8 # timesync source
observed_offset,int64 # raw time offset directly observed from this timesync packet (microseconds)
angular_velocity_z,float32 
q,float32[4] 
GIMBAL_DEVICE_FLAGS_PITCH_LOCK,uint32 = 8
angular_velocity_y,float32 
GIMBAL_DEVICE_FLAGS_ROLL_LOCK,uint32 = 4
GIMBAL_DEVICE_FLAGS_NEUTRAL,uint32 = 2
angular_velocity_x,float32 
GIMBAL_DEVICE_FLAGS_YAW_LOCK,uint32 = 16
GIMBAL_DEVICE_FLAGS_RETRACT,uint32 = 1
terrain_alt,float32 # Terrain altitude WGS84; (metres)
alt,float32 # Altitude AMSL; (meters)
epv,float32 # Standard deviation of vertical position error; (metres)
delta_alt,float32 # Reset delta for altitude
lon,float64 # Longitude; (degrees)
alt_reset_counter,uint8 # Counter for reset events on altitude
eph,float32 # Standard deviation of horizontal position error; (metres)
terrain_alt_valid,bool # Terrain altitude estimate is valid
dead_reckoning,bool # True if this position is estimated through dead-reckoning
lat,float64 # Latitude; (degrees)
lat_lon_reset_counter,uint8 # Counter for reset events on horizontal position coordinates
alt_ellipsoid,float32 # Altitude above ellipsoid; (meters)
LOGGER_TYPE_FULL,uint8 = 0 # Normal; full size log
buffer_size_bytes,uint32 # total buffer size in Bytes
dropouts,uint32 # number of failed buffer writes due to buffer overflow
LOGGER_TYPE_MISSION,uint8 = 1 # reduced mission log (e.g. for geotagging)
total_written_kb,float32 # total written to log in kiloBytes
BACKEND_ALL,uint8 = 3
write_rate_kb_s,float32 # write rate in kiloBytes/s
backend,uint8 
message_gaps,uint32 # messages misssed
buffer_used_bytes,uint32 # current buffer fill in Bytes
num_messages,uint8 
BACKEND_MAVLINK,uint8 = 2
BACKEND_FILE,uint8 = 1
beta_innov_var,float32 # Sideslip measurement innovation variance
windspeed_north,float32 # Wind component in north / X direction (m/sec)
variance_north,float32 # Wind estimate error variance in north / X direction (m/sec)**2 - set to zero (no uncertainty) if not estimated
variance_east,float32 # Wind estimate error variance in east / Y direction (m/sec)**2 - set to zero (no uncertainty) if not estimated
tas_innov_var,float32 # True airspeed innovation variance
tas_innov,float32 # True airspeed innovation
windspeed_east,float32 # Wind component in east / Y direction (m/sec)
beta_innov,float32 # Sideslip measurement innovation
control_power,float32[3] 
FAILURE_OVER_VOLTAGE,uint8 = 1 # (1 << 1)
FAILURE_OVER_RPM,uint8 = 3 # (1 << 3)
esc_temperature,float32 # Temperature measured from current ESC [degC] - if supported
FAILURE_MOTOR_OVER_TEMPERATURE,uint8 = 2 # (1 << 2)
esc_power,int8 # Applied power 0-100 in % (negative values reserved)
FAILURE_INCONSISTENT_CMD,uint8 = 4 # (1 << 4) Set if ESC received an inconsistent command (i.e out of boundaries)
actuator_function,uint8 # actuator output function (one of Motor1...MotorN)
ESC_FAILURE_COUNT,uint8 = 10 # Counter - keep it as last element!
FAILURE_MOTOR_WARN_TEMPERATURE,uint8 = 7 # (1 << 7)
esc_state,uint8 # State of ESC - depend on Vendor
esc_voltage,float32 # Voltage measured from current ESC [V] - if supported
FAILURE_GENERIC,uint8 = 6 # (1 << 6)
esc_cmdcount,uint8 # Counter of number of commands
failures,uint16 # Bitmask to indicate the internal ESC faults
esc_address,uint8 # Address of current ESC (in most cases 1-8 / must be set by driver)
FAILURE_MOTOR_STUCK,uint8 = 5 # (1 << 5)
FAILURE_OVER_CURRENT,uint8 = 0 # (1 << 0)
FAILURE_OVER_ESC_TEMPERATURE,uint8 = 9 # (1 << 9)
esc_rpm,int32 # Motor RPM; negative for reverse rotation [RPM] - if supported
esc_current,float32 # Current measured from current ESC [A] - if supported
FAILURE_WARN_ESC_TEMPERATURE,uint8 = 8 # (1 << 8)
esc_errorcount,uint32 # Number of reported errors by ESC - if supported
roll,float32 # [rad/s] roll rate setpoint
INDEX_ROLL,uint8 = 0
INDEX_YAW,uint8 = 2
INDEX_PITCH,uint8 = 1
control,float32[3] 
in_ground_effect,bool # indicates if from the perspective of the landing detector the vehicle might be in ground effect (baro). This flag will become true if the vehicle is not moving horizontally and is descending (crude assumption that user is landing).
landed,bool # true if vehicle is currently landed on the ground (3. stage)
maybe_landed,bool # true if the vehicle might have landed (2. stage)
close_to_ground_or_skipped_check,bool 
vertical_movement,bool 
freefall,bool # true if vehicle is currently in free-fall
ground_contact,bool # true if vehicle has ground contact but is not landed (1. stage)
in_descend,bool 
has_low_throttle,bool 
rotational_movement,bool 
at_rest,bool 
horizontal_movement,bool 
TAKEOFF_STATE_SPOOLUP,uint8 = 2
TAKEOFF_STATE_FLIGHT,uint8 = 5
TAKEOFF_STATE_UNINITIALIZED,uint8 = 0
TAKEOFF_STATE_RAMPUP,uint8 = 4
tilt_limit,float32 # limited tilt feasibility during takeoff; contains maximum tilt otherwise
TAKEOFF_STATE_READY_FOR_TAKEOFF,uint8 = 3
TAKEOFF_STATE_DISARMED,uint8 = 1
takeoff_state,uint8 
error_count,uint32 
pressure,float32 # static pressure measurement in Pascals
temperature,float32 # temperature in degrees Celsius
set_count,uint32 
custom_default,uint16 
export_count,uint32 
get_count,uint32 
instance,uint32 # Instance count - constantly incrementing
active,uint16 
changed,uint16 
find_count,uint32 
mag_inconsistency_angle,float32 # maximum angle between magnetometer instance field vectors in radians.
time_estimate,float32 # [s] Estimated time for RTL
safe_time_estimate,float32 # [s] Same as time_estimate; but with safety factor and safety margin included (factor*t + margin)
scale,float32[3] # scale to map the RC input [-1; 1] to a parameter value
value_max,float32[3] # minimal parameter value
value_min,float32[3] # minimal parameter value
RC_PARAM_MAP_NCHAN,uint8 = 3 # This limit is also hardcoded in the enum RC_CHANNELS_FUNCTION in rc_channels.h
param_id,char[51] # MAP_NCHAN * (ID_LEN + 1) chars; corresponding param id; null terminated
PARAM_ID_LEN,uint8 = 16 # corresponds to MAVLINK_MSG_PARAM_VALUE_FIELD_PARAM_ID_LEN
value0,float32[3] # initial value around which the parameter value is changed
param_index,int32[3] # corresponding param index; this field is ignored if set to -1; in this case param_id will be used
flow_uncompensated_integral,float32[2] # integrated optical flow measurement (rad)
gyro_rate_integral,float32[3] # gyro measurement integrated to flow rate and synchronized with flow measurements (rad)
vel_body,float32[2] # velocity obtained from gyro-compensated and distance-scaled optical flow raw measurements in body frame(m/s)
flow_compensated_integral,float32[2] # integrated optical flow measurement compensated for angular motion (rad)
gyro_rate,float32[3] # gyro measurement synchronized with flow measurements (rad/s)
vel_ne,float32[2] # same as vel_body but in local frame (m/s)
FLAGS_NEED_ACK,uint8 = 1 # if set; this message requires to be acked.
data,uint8[249] # ulog data
length,uint8 # length of data
first_message_offset,uint8 # offset into data where first message starts. This
msg_sequence,uint16 # allows determine drops
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED9,uint8 = 209 # Registered for STorM32 gimbal controller
MAV_TUNNEL_PAYLOAD_TYPE_UNKNOWN,uint8 = 0 # Encoding of payload unknown
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED0,uint8 = 200 # Registered for STorM32 gimbal controller
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED8,uint8 = 208 # Registered for STorM32 gimbal controller
MAV_TUNNEL_PAYLOAD_TYPE_STORM32_RESERVED4,uint8 = 204 # Registered for STorM32 gimbal controller
